model,horizon_minutes,station_id,n_predictions,accuracy_macro_station_pct,wape_all_rows_pct,mae
ridge,15,03000,672,84.993156,15.006844,39.783100
ridge,15,05000,672,85.354427,14.645573,50.506305
ridge,15,05100,672,86.638640,13.361360,80.325830
ridge,15,06000,672,85.401718,14.598282,75.113811
ridge,15,06111,672,82.460207,17.539793,43.038007
ridge,15,07105,672,81.418121,18.581879,51.283773
ridge,15,07107,672,82.444645,17.555355,51.251971
ridge,15,07111,672,85.762957,14.237043,98.616312
ridge,15,09000,672,83.628253,16.371747,36.578673
ridge,15,09122,672,82.985512,17.014488,43.286934
ridge,15,10009,672,82.007865,17.992135,61.553184
ridge,30,ALL,8064,83.638916,15.904296,57.730859
ridge,30,02300,672,81.180594,18.819406,57.260564
ridge,30,03000,672,84.859020,15.140980,40.138694
ridge,30,05000,672,85.718626,14.281374,49.250339
ridge,30,05100,672,86.362711,13.637289,81.984660
ridge,30,06000,672,85.186295,14.813705,76.222242
ridge,30,06111,672,82.429513,17.570487,43.113321
ridge,30,07105,672,81.711244,18.288756,50.474788
ridge,30,07107,672,82.551766,17.448234,50.939236
ridge,30,07111,672,85.435250,14.564750,100.886255
ridge,30,09000,672,83.704741,16.295259,36.407778
ridge,30,09122,672,82.595070,17.404930,44.280265
ridge,30,10009,672,81.932163,18.067837,61.812168
ridge,45,ALL,8064,82.759438,16.789999,60.945864
ridge,45,02300,672,80.199502,19.800498,60.245667
ridge,45,03000,672,83.694218,16.305782,43.226579
ridge,45,05000,672,83.669945,16.330055,56.315362
ridge,45,05100,672,85.441140,14.558860,87.524964
ridge,45,06000,672,84.457128,15.542872,79.974090
ridge,45,06111,672,82.354717,17.645283,43.296851
ridge,45,07105,672,80.777221,19.222779,53.052582
ridge,45,07107,672,82.356522,17.643478,51.509240
ridge,45,07111,672,84.449648,15.550352,107.713261
ridge,45,09000,672,82.201216,17.798784,39.767040
ridge,45,09122,672,81.636177,18.363823,46.719806
ridge,45,10009,672,81.875819,18.124181,62.004926
ridge,60,ALL,8064,81.376166,18.246064,66.231221
ridge,60,02300,672,78.399179,21.600821,65.723391
ridge,60,03000,672,81.503032,18.496968,49.035407
ridge,60,05000,672,81.465359,18.534641,63.918033
ridge,60,05100,672,83.673512,16.326488,98.151592
ridge,60,06000,672,83.230949,16.769051,86.283254
ridge,60,06111,672,82.051477,17.948523,44.040922
ridge,60,07105,672,81.078162,18.921838,52.222020
ridge,60,07107,672,81.638584,18.361416,53.605225
ridge,60,07111,672,82.599659,17.400341,120.527657
ridge,60,09000,672,80.565316,19.434684,43.422059
ridge,60,09122,672,79.540086,20.459914,52.052518
ridge,60,10009,672,80.768680,19.231320,65.792579
seasonal_naive_96,15,ALL,8064,77.890825,21.003340,76.239831
seasonal_naive_96,15,02300,672,69.388404,30.611596,93.139881
seasonal_naive_96,15,03000,672,82.891096,17.108904,45.355655
seasonal_naive_96,15,05000,672,82.803438,17.196562,59.303571
seasonal_naive_96,15,05100,672,83.102925,16.897075,101.581845
seasonal_naive_96,15,06000,672,81.999595,18.000405,92.619048
seasonal_naive_96,15,06111,672,70.042028,29.957972,73.508929
seasonal_naive_96,15,07105,672,79.745395,20.254605,55.900298
seasonal_naive_96,15,07107,672,70.077528,29.922472,87.357143
seasonal_naive_96,15,07111,672,82.438875,17.561125,121.641369
seasonal_naive_96,15,09000,672,81.388286,18.611714,41.583333
seasonal_naive_96,15,09122,672,71.049045,28.950955,73.654762
seasonal_naive_96,15,10009,672,79.763287,20.236713,69.232143
seasonal_naive_96,30,ALL,8064,77.890825,21.003340,76.239831
seasonal_naive_96,30,02300,672,69.388404,30.611596,93.139881
seasonal_naive_96,30,03000,672,82.891096,17.108904,45.355655
seasonal_naive_96,30,05000,672,82.803438,17.196562,59.303571
seasonal_naive_96,30,05100,672,83.102925,16.897075,101.581845
seasonal_naive_96,30,06000,672,81.999595,18.000405,92.619048
seasonal_naive_96,30,06111,672,70.042028,29.957972,73.508929
seasonal_naive_96,30,07105,672,79.745395,20.254605,55.900298
seasonal_naive_96,30,07107,672,70.077528,29.922472,87.357143
seasonal_naive_96,30,07111,672,82.438875,17.561125,121.641369
seasonal_naive_96,30,09000,672,81.388286,18.611714,41.583333
seasonal_naive_96,30,09122,672,71.049045,28.950955,73.654762
seasonal_naive_96,30,10009,672,79.763287,20.236713,69.232143
seasonal_naive_96,45,ALL,8064,77.890825,21.003340,76.239831
seasonal_naive_96,45,02300,672,69.388404,30.611596,93.139881
seasonal_naive_96,45,03000,672,82.891096,17.108904,45.355655
seasonal_naive_96,45,05000,672,82.803438,17.196562,59.303571
seasonal_naive_96,45,05100,672,83.102925,16.897075,101.581845
seasonal_naive_96,45,06000,672,81.999595,18.000405,92.619048
seasonal_naive_96,45,06111,672,70.042028,29.957972,73.508929
seasonal_naive_96,45,07105,672,79.745395,20.254605,55.900298
seasonal_naive_96,45,07107,672,70.077528,29.922472,87.357143
seasonal_naive_96,45,07111,672,82.438875,17.561125,121.641369
seasonal_naive_96,45,09000,672,81.388286,18.611714,41.583333
seasonal_naive_96,45,09122,672,71.049045,28.950955,73.654762
seasonal_naive_96,45,10009,672,79.763287,20.236713,69.232143
seasonal_naive_96,60,ALL,8064,77.890825,21.003340,76.239831
seasonal_naive_96,60,02300,672,69.388404,30.611596,93.139881
seasonal_naive_96,60,03000,672,82.891096,17.108904,45.355655
seasonal_naive_96,60,05000,672,82.803438,17.196562,59.303571
seasonal_naive_96,60,05100,672,83.102925,16.897075,101.581845
seasonal_naive_96,60,06000,672,81.999595,18.000405,92.619048
seasonal_naive_96,60,06111,672,70.042028,29.957972,73.508929
seasonal_naive_96,60,07105,672,79.745395,20.254605,55.900298
seasonal_naive_96,60,07107,672,70.077528,29.922472,87.357143
seasonal_naive_96,60,07111,672,82.438875,17.561125,121.641369
seasonal_naive_96,60,09000,672,81.388286,18.611714,41.583333
seasonal_naive_96,60,09122,672,71.049045,28.950955,73.654762
seasonal_naive_96,60,10009,672,79.763287,20.236713,69.232143
hist_gradient_boosting,0,ALL,32256,85.761857,13.885399,50.402483
hist_gradient_boosting,0,02300,2688,83.583778,16.416222,49.948555
hist_gradient_boosting,0,03000,2688,86.086372,13.913628,36.884987
hist_gradient_boosting,0,05000,2688,86.615515,13.384485,46.157352
hist_gradient_boosting,0,05100,2688,88.054404,11.945596,71.814541
hist_gradient_boosting,0,06000,2688,86.384989,13.615011,70.054499
hist_gradient_boosting,0,06111,2688,85.144005,14.855995,36.452677
hist_gradient_boosting,0,07105,2688,84.871182,15.128818,41.753736
hist_gradient_boosting,0,07107,2688,85.334852,14.665148,42.814156
hist_gradient_boosting,0,07111,2688,87.335322,12.664678,87.724947
hist_gradient_boosting,0,09000,2688,85.183631,14.816369,33.103561
hist_gradient_boosting,0,09122,2688,85.590412,14.409588,36.659750
hist_gradient_boosting,0,10009,2688,84.957824,15.042176,51.461031
persistence,0,ALL,32256,74.466088,25.388570,92.157738
persistence,0,02300,2688,68.717507,31.282493,95.181176
persistence,0,03000,2688,71.514395,28.485605,75.515253
persistence,0,05000,2688,71.116404,28.883596,99.607143
persistence,0,05100,2688,75.588067,24.411933,146.759673
persistence,0,06000,2688,74.132154,25.867846,133.100074
persistence,0,06111,2688,79.458400,20.541600,50.403646
persistence,0,07105,2688,78.179458,21.820542,60.222098
persistence,0,07107,2688,80.883672,19.116328,55.809152
persistence,0,07111,2688,75.096621,24.903379,172.499256
persistence,0,09000,2688,70.874739,29.125261,65.073289
persistence,0,09122,2688,70.276080,29.723920,75.621280
persistence,0,10009,2688,77.755558,22.244442,76.100818
ridge,0,ALL,32256,82.861923,16.690678,60.585339
ridge,0,02300,2688,80.190465,19.809535,60.273165
ridge,0,03000,2688,83.762356,16.237644,43.045945
ridge,0,05000,2688,84.052089,15.947911,54.997510
ridge,0,05100,2688,85.529001,14.470999,86.996762
ridge,0,06000,2688,84.569023,15.430977,79.398349
ridge,0,06111,2688,82.323978,17.676022,43.372275
ridge,0,07105,2688,81.246187,18.753813,51.758291
ridge,0,07107,2688,82.247879,17.752121,51.826418
ridge,0,07111,2688,84.561878,15.438122,106.935871
