baseline,station_id,horizon_minutes,n_predictions,accuracy_macro_station_pct,wape_all_rows_pct,mae,absolute_error,total_demand
seasonal_naive_96,05000,45,672,82.803438,17.196562,59.303571,39852.000000,231744.000000
seasonal_naive_96,05100,45,672,83.102925,16.897075,101.581845,68263.000000,403993.000000
seasonal_naive_96,06000,45,672,81.999595,18.000405,92.619048,62240.000000,345770.000000
seasonal_naive_96,06111,45,672,70.042028,29.957972,73.508929,49398.000000,164891.000000
seasonal_naive_96,07105,45,672,79.745395,20.254605,55.900298,37565.000000,185464.000000
seasonal_naive_96,07107,45,672,70.077528,29.922472,87.357143,58704.000000,196187.000000
seasonal_naive_96,07111,45,672,82.438875,17.561125,121.641369,81743.000000,465477.000000
seasonal_naive_96,09000,45,672,81.388286,18.611714,41.583333,27944.000000,150142.000000
seasonal_naive_96,09122,45,672,71.049045,28.950955,73.654762,49496.000000,170965.000000
seasonal_naive_96,10009,45,672,79.763287,20.236713,69.232143,46524.000000,229899.000000
persistence,ALL,60,8064,65.475538,34.400631,124.870536,,
persistence,02300,60,672,56.407209,43.592791,132.636905,89132.000000,204465.000000
persistence,03000,60,672,60.040865,39.959135,105.931548,71186.000000,178147.000000
persistence,05000,60,672,58.953846,41.046154,141.550595,95122.000000,231744.000000
persistence,05100,60,672,66.050897,33.949103,204.095238,137152.000000,403993.000000
persistence,06000,60,672,65.457674,34.542326,177.733631,119437.000000,345770.000000
persistence,06111,60,672,74.785768,25.214232,61.869048,41576.000000,164891.000000
persistence,07105,60,672,72.644287,27.355713,75.498512,50735.000000,185464.000000
persistence,07107,60,672,75.977511,24.022489,70.132440,47129.000000,196187.000000
persistence,07111,60,672,66.021737,33.978263,235.358631,158161.000000,465477.000000
persistence,09000,60,672,59.382451,40.617549,90.750000,60984.000000,150142.000000
persistence,09122,60,672,58.218349,41.781651,106.297619,71432.000000,170965.000000
persistence,10009,60,672,71.765862,28.234138,96.592262,64910.000000,229899.000000
seasonal_naive_96,ALL,60,8064,77.890825,21.003340,76.239831,,
seasonal_naive_96,02300,60,672,69.388404,30.611596,93.139881,62590.000000,204465.000000
seasonal_naive_96,03000,60,672,82.891096,17.108904,45.355655,30479.000000,178147.000000
seasonal_naive_96,05000,60,672,82.803438,17.196562,59.303571,39852.000000,231744.000000
seasonal_naive_96,05100,60,672,83.102925,16.897075,101.581845,68263.000000,403993.000000
seasonal_naive_96,06000,60,672,81.999595,18.000405,92.619048,62240.000000,345770.000000
seasonal_naive_96,06111,60,672,70.042028,29.957972,73.508929,49398.000000,164891.000000
seasonal_naive_96,07105,60,672,79.745395,20.254605,55.900298,37565.000000,185464.000000
seasonal_naive_96,07107,60,672,70.077528,29.922472,87.357143,58704.000000,196187.000000
seasonal_naive_96,07111,60,672,82.438875,17.561125,121.641369,81743.000000,465477.000000
seasonal_naive_96,09000,60,672,81.388286,18.611714,41.583333,27944.000000,150142.000000
seasonal_naive_96,09122,60,672,71.049045,28.950955,73.654762,49496.000000,170965.000000
seasonal_naive_96,10009,60,672,79.763287,20.236713,69.232143,46524.000000,229899.000000
persistence,ALL,0,32256,74.466088,25.388570,92.157738,,
persistence,02300,0,2688,68.717507,31.282493,95.181176,255847.000000,817860.000000
persistence,03000,0,2688,71.514395,28.485605,75.515253,202985.000000,712588.000000
persistence,05000,0,2688,71.116404,28.883596,99.607143,267744.000000,926976.000000
persistence,05100,0,2688,75.588067,24.411933,146.759673,394490.000000,1615972.000000
persistence,06000,0,2688,74.132154,25.867846,133.100074,357773.000000,1383080.000000
persistence,06111,0,2688,79.458400,20.541600,50.403646,135485.000000,659564.000000
persistence,07105,0,2688,78.179458,21.820542,60.222098,161877.000000,741856.000000
persistence,07107,0,2688,80.883672,19.116328,55.809152,150015.000000,784748.000000
persistence,07111,0,2688,75.096621,24.903379,172.499256,463678.000000,1861908.000000
persistence,09000,0,2688,70.874739,29.125261,65.073289,174917.000000,600568.000000
persistence,09122,0,2688,70.276080,29.723920,75.621280,203270.000000,683860.000000
persistence,10009,0,2688,77.755558,22.244442,76.100818,204559.000000,919596.000000
seasonal_naive_96,ALL,0,32256,77.890825,21.003340,76.239831,,
seasonal_naive_96,02300,0,2688,69.388404,30.611596,93.139881,250360.000000,817860.000000
seasonal_naive_96,03000,0,2688,82.891096,17.108904,45.355655,121916.000000,712588.000000
seasonal_naive_96,05000,0,2688,82.803438,17.196562,59.303571,159408.000000,926976.000000
seasonal_naive_96,05100,0,2688,83.102925,16.897075,101.581845,273052.000000,1615972.000000
seasonal_naive_96,06000,0,2688,81.999595,18.000405,92.619048,248960.000000,1383080.000000
seasonal_naive_96,06111,0,2688,70.042028,29.957972,73.508929,197592.000000,659564.000000
seasonal_naive_96,07105,0,2688,79.745395,20.254605,55.900298,150260.000000,741856.000000
seasonal_naive_96,07107,0,2688,70.077528,29.922472,87.357143,234816.000000,784748.000000
seasonal_naive_96,07111,0,2688,82.438875,17.561125,121.641369,326972.000000,1861908.000000
seasonal_naive_96,09000,0,2688,81.388286,18.611714,41.583333,111776.000000,600568.000000
seasonal_naive_96,09122,0,2688,71.049045,28.950955,73.654762,197984.000000,683860.000000
seasonal_naive_96,10009,0,2688,79.763287,20.236713,69.232143,186096.000000,919596.000000
